Survived,Pclass,Age,SibSp,Parch,Fare,Sex_female,Sex_male,Embarked_C,Embarked_Q,Embarked_S,New_Attr,Class_Fare
0,3,33.0,0,0,7.8958,False,True,True,False,False,23.6874,
0,3,20.0,0,0,7.05,False,True,False,False,True,21.15,
0,3,47.0,1,0,14.5,True,False,False,False,True,43.5,
1,2,29.0,1,0,26.0,True,False,False,False,True,52.0,
0,2,25.0,0,0,13.0,False,True,False,False,True,26.0,
0,2,23.0,0,0,15.0458,False,True,True,False,False,30.0916,
1,1,19.0,0,2,26.2833,True,False,False,False,True,26.2833,
0,1,37.0,1,0,53.1,False,True,False,False,True,53.1,
0,3,16.0,0,0,9.2167,False,True,False,False,True,27.6501,
0,1,24.0,0,0,79.2,False,True,True,False,False,79.2,
0,3,24.0,0,2,15.2458,True,False,True,False,False,45.737399999999994,
1,3,22.0,0,0,7.75,True,False,False,False,True,23.25,
1,3,24.0,1,0,15.85,True,False,False,False,True,47.55,
0,3,19.0,0,0,6.75,False,True,False,True,False,20.25,
0,2,18.0,0,0,11.5,False,True,False,False,True,23.0,
0,2,19.0,1,1,36.75,False,True,False,False,True,73.5,
1,3,27.0,0,0,7.7958,False,True,False,False,True,23.3874,
0,3,9.0,2,2,34.375,True,False,False,False,True,103.125,
0,2,36.5,0,2,26.0,False,True,False,False,True,52.0,
0,2,42.0,0,0,13.0,False,True,False,False,True,26.0,
0,2,51.0,0,0,12.525,False,True,False,False,True,25.05,
1,1,22.0,1,0,66.6,True,False,False,False,True,66.6,
0,3,55.5,0,0,8.05,False,True,False,False,True,24.150000000000002,
0,3,40.5,0,2,14.5,False,True,False,False,True,43.5,
0,3,40.5,0,0,7.3125,False,True,False,False,True,21.9375,
0,1,51.0,0,1,61.3792,False,True,True,False,False,61.3792,
1,3,16.0,0,0,7.7333,True,False,False,True,False,23.1999,
0,3,30.0,0,0,8.05,False,True,False,False,True,24.150000000000002,
0,3,30.0,0,0,8.6625,False,True,False,False,True,25.987499999999997,
0,3,30.0,8,2,69.55,False,True,False,False,True,208.64999999999998,
0,3,44.0,0,1,16.1,False,True,False,False,True,48.300000000000004,
1,2,40.0,0,0,15.75,True,False,False,False,True,31.5,
0,3,26.0,0,0,7.775,False,True,False,False,True,23.325000000000003,
0,3,17.0,0,0,8.6625,False,True,False,False,True,25.987499999999997,
0,3,1.0,4,1,39.6875,False,True,False,False,True,119.0625,
1,3,9.0,0,2,20.525,False,True,False,False,True,61.574999999999996,
1,1,9.0,0,1,55.0,True,False,False,False,True,55.0,
0,3,45.0,1,4,27.9,True,False,False,False,True,83.69999999999999,
0,1,45.0,0,0,25.925,False,True,False,False,True,25.925,
0,3,28.0,0,0,56.4958,False,True,False,False,True,169.4874,
0,1,61.0,0,0,33.5,False,True,False,False,True,33.5,
0,3,4.0,4,1,29.125,False,True,False,True,False,87.375,
1,3,1.0,1,1,11.1333,True,False,False,False,True,33.3999,
0,3,21.0,0,0,7.925,False,True,False,False,True,23.775,
0,1,56.0,0,0,30.6958,False,True,True,False,False,30.6958,
0,3,18.0,1,1,7.8542,False,True,False,False,True,23.5626,
0,3,18.0,3,1,25.4667,False,True,False,False,True,76.4001,
0,1,50.0,0,0,28.7125,True,False,True,False,False,28.7125,
0,2,30.0,0,0,13.0,False,True,False,False,True,26.0,
0,3,36.0,0,0,0.0,False,True,False,False,True,0.0,
0,3,36.0,8,2,69.55,True,False,False,False,True,208.64999999999998,
0,2,36.0,0,0,15.05,False,True,True,False,False,30.1,
0,3,9.0,4,2,31.3875,False,True,False,False,True,94.1625,
1,2,1.0,2,1,39.0,False,True,False,False,True,78.0,
1,3,4.0,0,2,22.025,True,False,False,False,True,66.07499999999999,
0,1,4.0,0,0,50.0,False,True,False,False,True,50.0,
1,3,4.0,1,0,15.5,True,False,False,True,False,46.5,
1,1,45.0,0,0,26.55,False,True,False,False,True,26.55,
0,3,40.0,1,1,15.5,False,True,False,True,False,46.5,
0,3,36.0,0,0,7.8958,False,True,False,False,True,23.6874,
1,2,32.0,0,0,13.0,True,False,False,False,True,26.0,
0,2,19.0,0,0,13.0,False,True,False,False,True,26.0,
1,3,19.0,1,0,7.8542,True,False,False,False,True,23.5626,
1,2,3.0,1,1,26.0,False,True,False,False,True,52.0,
1,1,44.0,0,0,27.7208,True,False,True,False,False,27.7208,
1,1,58.0,0,0,146.5208,True,False,True,False,False,146.5208,
0,3,58.0,0,0,7.75,False,True,False,True,False,23.25,
0,3,42.0,0,1,8.4042,False,True,False,False,True,25.2126,
1,3,42.0,0,0,7.75,True,False,False,True,False,23.25,
0,2,24.0,0,0,13.0,True,False,False,False,True,26.0,
0,3,28.0,0,0,9.5,False,True,False,False,True,28.5,
0,3,28.0,8,2,69.55,False,True,False,False,True,208.64999999999998,
0,3,34.0,0,0,6.4958,False,True,False,False,True,19.4874,
0,3,45.5,0,0,7.225,False,True,True,False,False,21.674999999999997,
1,3,18.0,0,0,8.05,False,True,False,False,True,24.150000000000002,
0,3,2.0,0,1,10.4625,True,False,False,False,True,31.387500000000003,
0,3,32.0,1,0,15.85,False,True,False,False,True,47.55,
1,3,26.0,0,0,18.7875,False,True,True,False,False,56.362500000000004,
1,3,16.0,0,0,7.75,True,False,False,True,False,23.25,
1,1,40.0,0,0,31.0,False,True,True,False,False,31.0,
0,3,24.0,0,0,7.05,False,True,False,False,True,21.15,
1,2,35.0,0,0,21.0,True,False,False,False,True,42.0,
0,3,22.0,0,0,7.25,False,True,False,False,True,21.75,
0,2,30.0,0,0,13.0,False,True,False,False,True,26.0,
0,3,30.0,1,0,7.75,False,True,False,True,False,23.25,
1,1,31.0,1,0,113.275,True,False,True,False,False,113.275,
1,3,27.0,0,0,7.925,True,False,False,False,True,23.775,
0,2,42.0,1,0,27.0,False,True,False,False,True,54.0,
1,1,32.0,0,0,76.2917,True,False,True,False,False,76.2917,
0,2,30.0,0,0,10.5,False,True,False,False,True,21.0,
1,3,16.0,0,0,8.05,False,True,False,False,True,24.150000000000002,
0,2,27.0,0,0,13.0,False,True,False,False,True,26.0,
0,3,51.0,0,0,8.05,False,True,False,False,True,24.150000000000002,
0,3,51.0,0,0,7.8958,False,True,False,False,True,23.6874,
1,1,38.0,1,0,90.0,False,True,False,False,True,90.0,
0,3,22.0,0,0,9.35,False,True,False,False,True,28.049999999999997,
1,2,19.0,0,0,10.5,False,True,False,False,True,21.0,
0,3,20.5,0,0,7.25,False,True,False,False,True,21.75,
0,2,18.0,0,0,13.0,False,True,False,False,True,26.0,
0,3,18.0,3,1,25.4667,True,False,False,False,True,76.4001,
1,1,35.0,1,0,83.475,True,False,False,False,True,83.475,
0,3,29.0,0,0,7.775,False,True,False,False,True,23.325000000000003,
0,2,59.0,0,0,13.5,False,True,False,False,True,27.0,
1,3,5.0,4,2,31.3875,True,False,False,False,True,94.1625,
0,2,24.0,0,0,10.5,False,True,False,False,True,21.0,
0,3,24.0,0,0,7.55,True,False,False,False,True,22.65,
0,2,44.0,1,0,26.0,False,True,False,False,True,52.0,
1,2,8.0,0,2,26.25,True,False,False,False,True,52.5,
0,2,19.0,0,0,10.5,False,True,False,False,True,21.0,
0,2,33.0,0,0,12.275,False,True,False,False,True,24.55,
0,3,33.0,1,0,14.4542,True,False,True,False,False,43.3626,
1,3,33.0,1,0,15.5,True,False,False,True,False,46.5,
0,2,29.0,0,0,10.5,False,True,False,False,True,21.0,
0,3,22.0,0,0,7.125,False,True,False,False,True,21.375,
0,3,30.0,0,0,7.225,False,True,True,False,False,21.674999999999997,
0,1,44.0,2,0,90.0,False,True,False,True,False,90.0,
0,3,25.0,0,0,7.775,True,False,False,False,True,23.325000000000003,
1,2,24.0,0,2,14.5,True,False,False,False,True,29.0,
1,1,37.0,1,1,52.5542,False,True,False,False,True,52.5542,
0,2,54.0,1,0,26.0,False,True,False,False,True,52.0,
0,3,54.0,0,0,7.25,False,True,False,False,True,21.75,
0,3,29.0,1,1,10.4625,True,False,False,False,True,31.387500000000003,
0,1,62.0,0,0,26.55,False,True,False,False,True,26.55,
0,3,30.0,1,0,16.1,False,True,False,False,True,48.300000000000004,
0,3,41.0,0,2,20.2125,True,False,False,False,True,60.637499999999996,
1,3,29.0,0,2,15.2458,True,False,True,False,False,45.737399999999994,
1,1,29.0,0,0,79.2,True,False,True,False,False,79.2,
1,1,30.0,0,0,86.5,True,False,False,False,True,86.5,
1,1,35.0,0,0,512.3292,True,False,True,False,False,512.3292,
1,2,50.0,0,1,26.0,True,False,False,False,True,52.0,
0,3,50.0,0,0,7.75,False,True,False,True,False,23.25,
1,3,3.0,4,2,31.3875,False,True,False,False,True,94.1625,
0,1,52.0,1,1,79.65,False,True,False,False,True,79.65,
0,1,40.0,0,0,0.0,False,True,False,False,True,0.0,
0,3,40.0,0,0,7.75,True,False,False,True,False,23.25,
0,2,36.0,0,0,10.5,False,True,False,False,True,21.0,
0,3,16.0,4,1,39.6875,False,True,False,False,True,119.0625,
1,3,25.0,1,0,7.775,False,True,False,False,True,23.325000000000003,
1,1,58.0,0,1,153.4625,True,False,False,False,True,153.4625,
1,1,35.0,0,0,135.6333,True,False,False,False,True,135.6333,
0,1,35.0,0,0,31.0,False,True,False,False,True,31.0,
1,3,25.0,0,0,0.0,False,True,False,False,True,0.0,
1,2,41.0,0,1,19.5,True,False,False,False,True,39.0,
0,1,37.0,0,1,29.7,False,True,True,False,False,29.7,
1,3,37.0,0,0,7.75,True,False,False,True,False,23.25,
1,1,63.0,1,0,77.9583,True,False,False,False,True,77.9583,
0,3,45.0,0,0,7.75,True,False,False,False,True,23.25,
0,2,45.0,0,0,0.0,False,True,False,False,True,0.0,
0,3,7.0,4,1,29.125,False,True,False,True,False,87.375,
1,3,35.0,1,1,20.25,True,False,False,False,True,60.75,
0,3,28.0,0,0,7.8542,False,True,False,False,True,23.5626,
0,3,16.0,0,0,9.5,False,True,False,False,True,28.5,
1,3,19.0,0,0,8.05,False,True,False,False,True,24.150000000000002,
0,1,19.0,0,0,26.0,False,True,False,False,True,26.0,
0,3,33.0,0,0,8.6625,False,True,True,False,False,25.987499999999997,
1,3,30.0,0,0,9.5,False,True,False,False,True,28.5,
0,3,22.0,0,0,7.8958,False,True,False,False,True,23.6874,
1,2,42.0,0,0,13.0,False,True,False,False,True,26.0,
1,3,22.0,0,0,7.75,True,False,False,True,False,23.25,
1,1,26.0,0,0,78.85,True,False,False,False,True,78.85,
1,1,19.0,1,0,91.0792,True,False,True,False,False,91.0792,
0,2,36.0,0,0,12.875,False,True,True,False,False,25.75,
0,3,24.0,0,0,8.85,True,False,False,False,True,26.549999999999997,
0,3,24.0,0,0,7.8958,False,True,False,False,True,23.6874,
0,1,24.0,0,0,27.7208,False,True,True,False,False,27.7208,
0,3,23.5,0,0,7.2292,False,True,True,False,False,21.6876,
0,1,2.0,1,2,151.55,True,False,False,False,True,151.55,
1,1,2.0,0,0,30.5,False,True,False,False,True,30.5,
1,1,50.0,0,1,247.5208,True,False,True,False,False,247.5208,
1,3,50.0,0,0,7.75,True,False,False,True,False,23.25,
1,3,50.0,2,0,23.25,False,True,False,True,False,69.75,
0,3,19.0,0,0,0.0,False,True,False,False,True,0.0,
1,2,19.0,0,0,12.35,True,False,False,True,False,24.7,
0,3,19.0,0,0,8.05,False,True,False,False,True,24.150000000000002,
1,1,0.92,1,2,151.55,False,True,False,False,True,151.55,
1,1,0.92,0,0,110.8833,True,False,True,False,False,110.8833,
1,1,17.0,1,0,108.9,True,False,True,False,False,108.9,
0,2,30.0,1,0,24.0,False,True,True,False,False,48.0,
1,1,30.0,0,0,56.9292,True,False,True,False,False,56.9292,
1,1,24.0,0,0,83.1583,True,False,True,False,False,83.1583,
1,1,18.0,2,2,262.375,True,False,True,False,False,262.375,
0,2,26.0,1,1,26.0,True,False,False,False,True,52.0,
0,3,28.0,0,0,7.8958,False,True,False,False,True,23.6874,
0,2,43.0,1,1,26.25,False,True,False,False,True,52.5,
1,3,26.0,0,0,7.8542,True,False,False,False,True,23.5626,
1,2,24.0,1,0,26.0,True,False,False,False,True,52.0,
0,2,54.0,0,0,14.0,False,True,False,False,True,28.0,
1,1,31.0,0,2,164.8667,True,False,False,False,True,164.8667,
1,1,40.0,1,1,134.5,True,False,True,False,False,134.5,
0,3,22.0,0,0,7.25,False,True,False,False,True,21.75,
0,3,27.0,0,0,7.8958,False,True,False,False,True,23.6874,
1,2,30.0,0,0,12.35,True,False,False,True,False,24.7,
1,2,22.0,1,1,29.0,True,False,False,False,True,58.0,
0,3,22.0,8,2,69.55,False,True,False,False,True,208.64999999999998,
1,1,36.0,0,0,135.6333,True,False,True,False,False,135.6333,
0,3,61.0,0,0,6.2375,False,True,False,False,True,18.7125,
1,2,36.0,0,0,13.0,True,False,False,False,True,26.0,
1,3,31.0,1,1,20.525,True,False,False,False,True,61.574999999999996,
1,1,16.0,0,1,57.9792,True,False,True,False,False,57.9792,
1,3,16.0,2,0,23.25,True,False,False,True,False,69.75,
0,1,45.5,0,0,28.5,False,True,False,False,True,28.5,
0,1,38.0,0,1,153.4625,False,True,False,False,True,153.4625,
0,3,16.0,2,0,18.0,False,True,False,False,True,54.0,
1,1,16.0,1,0,133.65,True,False,False,False,True,133.65,
0,3,16.0,0,0,7.8958,False,True,False,False,True,23.6874,
0,1,29.0,1,0,66.6,False,True,False,False,True,66.6,
1,1,41.0,0,0,134.5,True,False,True,False,False,134.5,
1,3,45.0,0,0,8.05,False,True,False,False,True,24.150000000000002,
0,1,45.0,0,0,35.5,False,True,False,False,True,35.5,
1,2,2.0,1,1,26.0,False,True,False,False,True,52.0,
1,1,24.0,3,2,263.0,True,False,False,False,True,263.0,
0,2,28.0,0,0,13.0,False,True,False,False,True,26.0,
0,2,25.0,0,0,13.0,False,True,False,False,True,26.0,
0,2,36.0,0,0,13.0,False,True,False,False,True,26.0,
1,2,24.0,0,0,13.0,True,False,False,False,True,26.0,
1,2,40.0,0,0,13.0,True,False,False,False,True,26.0,
1,3,40.0,1,0,16.1,True,False,False,False,True,48.300000000000004,
1,3,3.0,1,1,15.9,False,True,False,False,True,47.7,
0,3,42.0,0,0,8.6625,False,True,False,False,True,25.987499999999997,
0,3,23.0,0,0,9.225,False,True,False,False,True,27.674999999999997,
0,1,23.0,0,0,35.0,False,True,False,False,True,35.0,
0,3,15.0,1,1,7.2292,False,True,True,False,False,21.6876,
0,3,25.0,1,0,17.8,False,True,False,False,True,53.400000000000006,
0,3,25.0,0,0,7.225,False,True,True,False,False,21.674999999999997,
0,3,28.0,0,0,9.5,False,True,False,False,True,28.5,
1,1,22.0,0,1,55.0,True,False,False,False,True,55.0,
0,2,38.0,0,0,13.0,True,False,False,False,True,26.0,
1,3,38.0,0,0,7.8792,True,False,False,True,False,23.6376,
1,3,38.0,0,0,7.8792,True,False,False,True,False,23.6376,
0,3,40.0,1,4,27.9,False,True,False,False,True,83.69999999999999,
0,2,29.0,1,0,27.7208,False,True,True,False,False,55.4416,
0,3,45.0,0,1,14.4542,True,False,True,False,False,43.3626,
0,3,35.0,0,0,7.05,False,True,False,False,True,21.15,
0,3,35.0,1,0,15.5,False,True,False,True,False,46.5,
0,3,30.0,0,0,7.25,False,True,False,False,True,21.75,
1,1,60.0,1,0,75.25,True,False,True,False,False,75.25,
1,3,60.0,0,0,7.2292,True,False,True,False,False,21.6876,
1,3,60.0,0,0,7.75,True,False,False,True,False,23.25,
1,1,24.0,0,0,69.3,True,False,True,False,False,69.3,
1,1,25.0,1,0,55.4417,False,True,True,False,False,55.4417,
0,3,18.0,1,0,6.4958,False,True,False,False,True,19.4874,
0,3,19.0,0,0,8.05,False,True,False,False,True,24.150000000000002,
0,1,22.0,0,0,135.6333,False,True,True,False,False,135.6333,
0,3,3.0,3,1,21.075,True,False,False,False,True,63.224999999999994,
1,1,3.0,1,0,82.1708,True,False,True,False,False,82.1708,
1,3,22.0,0,0,7.25,True,False,False,False,True,21.75,
0,1,27.0,0,2,211.5,False,True,True,False,False,211.5,
0,3,20.0,0,0,4.0125,False,True,True,False,False,12.037500000000001,
0,3,19.0,0,0,7.775,False,True,False,False,True,23.325000000000003,
1,1,42.0,0,0,227.525,True,False,True,False,False,227.525,
1,3,1.0,0,2,15.7417,True,False,True,False,False,47.2251,
0,3,32.0,0,0,7.925,False,True,False,False,True,23.775,
1,1,35.0,1,0,52.0,True,False,False,False,True,52.0,
0,3,35.0,0,0,7.8958,False,True,False,False,True,23.6874,
0,2,18.0,0,0,73.5,False,True,False,False,True,147.0,
0,3,1.0,5,2,46.9,False,True,False,False,True,140.7,
1,2,36.0,0,0,13.0,True,False,False,False,True,26.0,
0,3,36.0,0,0,7.7292,False,True,False,True,False,23.1876,
1,2,17.0,0,0,12.0,True,False,True,False,False,24.0,
1,1,36.0,1,2,120.0,False,True,False,False,True,120.0,
1,3,21.0,0,0,7.7958,False,True,False,False,True,23.3874,
0,3,28.0,2,0,7.925,False,True,False,False,True,23.775,
1,1,23.0,1,0,113.275,True,False,True,False,False,113.275,
1,3,24.0,0,2,16.7,True,False,False,False,True,50.099999999999994,
0,3,22.0,0,0,7.7958,False,True,False,False,True,23.3874,
0,3,31.0,0,0,7.8542,True,False,False,False,True,23.5626,
0,2,46.0,0,0,26.0,False,True,False,False,True,52.0,
0,2,23.0,0,0,10.5,False,True,False,False,True,21.0,
1,2,28.0,0,0,12.65,True,False,False,False,True,25.3,
1,3,39.0,0,0,7.925,False,True,False,False,True,23.775,
0,3,26.0,0,0,8.05,False,True,False,False,True,24.150000000000002,
0,3,21.0,1,0,9.825,True,False,False,False,True,29.474999999999998,
0,3,28.0,1,0,15.85,False,True,False,False,True,47.55,
0,3,20.0,0,0,8.6625,True,False,False,False,True,25.987499999999997,
0,2,34.0,1,0,21.0,False,True,False,False,True,42.0,
0,3,51.0,0,0,7.75,False,True,False,False,True,23.25,
1,2,3.0,1,1,18.75,False,True,False,False,True,37.5,
0,3,21.0,0,0,7.775,False,True,False,False,True,23.325000000000003,
0,3,21.0,3,1,25.4667,True,False,False,False,True,76.4001,
0,3,21.0,0,0,7.8958,False,True,False,False,True,23.6874,
0,3,21.0,0,0,6.8583,False,True,False,True,False,20.5749,
1,1,33.0,1,0,90.0,True,False,False,True,False,90.0,
0,2,33.0,0,0,0.0,False,True,False,False,True,0.0,
1,3,44.0,0,0,7.925,False,True,False,False,True,23.775,
0,3,44.0,0,0,8.05,True,False,False,False,True,24.150000000000002,
1,2,34.0,1,1,32.5,True,False,False,False,True,65.0,
1,2,18.0,0,2,13.0,True,False,False,False,True,26.0,
0,2,30.0,0,0,13.0,False,True,False,False,True,26.0,
0,3,10.0,0,2,24.15,True,False,False,False,True,72.44999999999999,
0,3,10.0,0,0,7.8958,False,True,True,False,False,23.6874,
0,3,21.0,0,0,7.7333,False,True,False,True,False,23.1999,
0,3,29.0,0,0,7.875,False,True,False,False,True,23.625,
0,3,28.0,1,1,14.4,True,False,False,False,True,43.2,
0,3,18.0,1,1,20.2125,False,True,False,False,True,60.637499999999996,
0,3,18.0,0,0,7.25,False,True,False,False,True,21.75,
1,2,28.0,1,0,26.0,True,False,False,False,True,52.0,
1,2,19.0,0,0,26.0,True,False,False,False,True,52.0,
0,3,19.0,0,0,7.75,False,True,False,True,False,23.25,
1,3,32.0,0,0,8.05,False,True,False,False,True,24.150000000000002,
1,1,28.0,0,0,26.55,False,True,False,False,True,26.55,
1,3,28.0,1,0,16.1,True,False,False,False,True,48.300000000000004,
1,2,42.0,1,0,26.0,True,False,False,False,True,52.0,
0,3,17.0,0,0,7.125,False,True,False,False,True,21.375,
